Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ATR
2026-01-02,26155.099609375,26340.0,26118.400390625,26328.55078125,357500,26009.88271484375,25953.3971484375,26045.16105750122,61.53159551597052,65.58973366700957,46.13337477622255,19.456358890787016,26319.696418657506,25700.06901102999,2.3822768230857716,161.84988839285714
2026-01-05,26333.69921875,26373.19921875,26210.05078125,26250.30078125,338800,26013.07529296875,25960.57515625,26064.69817404872,58.71364987880749,73.97056406630509,51.70081263423906,22.26975143206603,26331.73954057526,25694.41104536224,2.4500313324556733,163.33189174107142
2026-01-06,26189.69921875,26273.94921875,26124.75,26178.69921875,383000,26023.98271484375,25968.2461328125,26075.555416401225,63.45435320161859,73.98196678294698,56.15704346398065,17.824923318966334,26349.927757437115,25698.037672250386,2.504958953937898,160.20675223214286
2026-01-07,26143.099609375,26187.150390625,26067.900390625,26140.75,338200,26039.0376953125,25971.7401171875,26081.764424363013,63.64785576951715,70.12051309333037,58.9497373898506,11.170775703479777,26356.847289301943,25721.22810132306,2.441024109325304,157.38169642857142
2026-01-08,26106.5,26133.19921875,25858.44921875,25876.849609375,328500,26044.98017578125,25970.553125,26062.248727697486,52.12650773022996,45.244180459376366,56.208626003755754,-10.964445544379387,26344.587105362345,25745.373246200154,2.3006884824561684,164.97112165178572
2026-01-09,25840.400390625,25940.599609375,25623.0,25683.30078125,348800,26034.21767578125,25963.1411328125,26026.15844708344,40.46161601139234,9.798780505887407,46.92665690418209,-37.12787639829468,26369.332509806376,25699.10284175612,2.5744183151458664,174.95689174107142
2026-01-12,25669.05078125,25813.150390625,25473.400390625,25790.25,275800,26021.38271484375,25961.389140625,26003.690975932637,36.20347062100283,-9.551937397911388,35.63093804376339,-45.18287544167478,26373.667791425927,25669.09763826157,2.7076583934274914,183.91768973214286
2026-01-13,25897.349609375,25899.80078125,25603.30078125,25732.30078125,339500,26006.63271484375,25961.5931640625,25977.844290724766,34.533967647789794,-29.22663198182636,22.659424038645444,-51.8860560204718,26381.83224714546,25631.433182542038,2.885414166575737,196.91768973214286
2026-01-14,25648.55078125,25791.75,25603.94921875,25665.599609375,393100,25996.90771484375,25959.6381640625,25948.10670202479,33.79032022303193,-49.62910290817308,8.201718649281737,-57.83082155745482,26397.3337743734,25596.4816553141,3.080566842194198,202.23200334821428
2026-01-16,25696.05078125,25873.5,25662.400390625,25694.349609375,434000,25990.69765625,25961.5721484375,25923.93935986767,37.56208450334492,-62.75492368627238,-5.989609817829086,-56.76531386844329,26406.333834031462,25575.061478468535,3.198345679509033,207.62486049107142
2026-01-19,25653.099609375,25653.30078125,25494.349609375,25585.5,443100,25979.1951171875,25963.0881640625,25891.70703988027,37.331266505594726,-81.00669030089557,-20.993025914442384,-60.013664386453186,26426.747842230634,25531.642392144367,3.445470292857827,208.58914620535714
2026-01-20,25580.30078125,25585.0,25171.349609375,25232.5,409800,25942.50009765625,25957.8921484375,25828.92541703453,29.900707044097715,-122.54289844282539,-41.30300042011899,-81.2398980227064,26501.05099565838,25383.949199654122,4.3060683889336575,231.11774553571428
2026-01-21,25141.0,25300.94921875,24919.80078125,25157.5,395600,25891.755078125,25949.55515625,25764.98013922172,20.38810228975116,-159.67191737518806,-64.9767838111328,-94.69513356405525,26539.62943572171,25243.88072052829,5.004483903403479,240.5498046875
2026-01-22,25344.150390625,25435.75,25168.5,25289.900390625,486400,25847.392578125,25941.4541796875,25719.734448879175,25.61970056931186,-176.38012706008521,-87.25745246092329,-89.12267459916193,26533.370723041968,25161.414433208032,5.307909823736112,254.4140625
2026-01-23,25344.599609375,25347.94921875,25025.30078125,25048.650390625,393900,25792.7201171875,25924.911171875,25655.821681426398,14.762384617618252,-206.70558904044447,-111.14707977682752,-95.55850926361694,26550.354088083954,25035.086146291043,5.874789223115638,261.6318359375
2026-01-27,25063.349609375,25246.650390625,24932.55078125,25175.400390625,618700,25749.37509765625,25910.836171875,25610.067272778644,21.17610705213815,-217.998123765341,-132.51728857453023,-85.48083519081078,26545.121841735265,24953.628353577238,6.180707229290729,272.4140625
2026-01-28,25258.849609375,25372.099609375,25187.650390625,25342.75,574900,25719.4076171875,25899.49015625,25584.60848489496,28.67854673417702,-211.01141576472583,-148.21611401256936,-62.79530175215646,26529.605957855096,24909.2092765199,6.300287726115171,275.80691964285717
2026-01-29,25345.0,25458.150390625,25159.80078125,25418.900390625,582400,25693.41015625,25887.5991796875,25568.826761631157,31.940656159693987,-197.05813570567625,-157.98451835119076,-39.07361735448549,26507.320000484626,24879.500312015374,6.335553274438658,288.59974888392856
2026-01-30,25247.55078125,25370.69921875,25213.650390625,25320.650390625,508400,25652.9626953125,25875.811171875,25545.190916773427,34.82733119930438,-191.71800875677945,-164.73121643230849,-26.98679232447097,26455.931204362736,24849.994186262265,6.260239946452343,283.0961216517857
2026-02-02,24796.5,25108.099609375,24679.400390625,25088.400390625,449200,25600.05517578125,25856.526171875,25501.687057140243,34.10716726897425,-203.87639352608676,-172.56025185106415,-31.316141675022607,26405.525918931315,24794.584432631185,6.292726618121312,306.21400669642856
2026-02-03,26308.05078125,26341.19921875,25641.30078125,25727.55078125,637300,25570.00517578125,25847.2341796875,25523.19788800784,48.69583163382209,-160.0924599077225,-170.06669346239585,9.974233554673333,26302.586630646958,24837.423720915544,5.730006308794768,371.43178013392856
2026-02-04,25675.05078125,25818.55078125,25563.94921875,25776.0,429800,25546.29013671875,25841.391171875,25547.274279626137,50.912567441238224,-120.09949777188012,-160.07325432429272,39.973756552412596,26213.979433873716,24878.600839563787,5.22728970493658,368.4390345982143
2026-02-05,25755.900390625,25757.650390625,25579.5,25642.80078125,343800,25519.49521484375,25835.0571875,25556.372041685554,49.53675961105745,-98.02290388742404,-147.663184236919,49.64028034949496,26119.95231072973,24919.038118957775,4.705869695547214,369.06040736607144
