Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower
2025-12-05,26186.44921875,26202.599609375,25985.349609375,25999.80078125,249300,26002.65009765625,,26063.93559872522,25946.370924062085,55.95075257779056,117.56467466313552,130.0980979452362,-12.53342328210067,26002.65009765625,174.34962402716155,26351.349345710572,25653.950849601926
2025-12-08,25960.55078125,26178.69921875,25892.25,26159.80078125,320700,26021.96015625,,26048.030242190573,25947.421283853782,51.60205808947633,100.60895833679024,124.200270023547,-23.591311686756768,26021.96015625,142.981690673993,26307.923537597984,25735.996774902014
2025-12-09,25839.650390625,25923.650390625,25728.0,25867.099609375,276000,26029.19521484375,,26015.971803488177,25939.438254725723,43.14847484205606,76.5335487624543,114.66692577132847,-38.13337700887416,26029.19521484375,128.4902800813699,26286.17577500649,25772.214654681007
2025-12-10,25758.0,25947.650390625,25734.55078125,25864.05078125,207900,26023.30517578125,,25976.283833720765,25925.9983840053,35.49494735935414,50.2854497154658,101.79063056015593,-51.50518084469013,26023.30517578125,138.22339479907393,26299.751965379397,25746.858386183103
2025-12-11,25898.55078125,25922.80078125,25693.25,25771.400390625,206100,26024.2751953125,,25964.324902571418,25923.965228245648,44.39562311945033,40.35967432576945,89.50443931327864,-49.14476498750919,26024.2751953125,137.22295891980565,26298.72111315211,25749.82927747289
2025-12-12,26046.94921875,26057.599609375,25938.44921875,25971.19921875,216300,26031.1201171875,,25977.03633582966,25933.07515346819,52.815769415564645,43.96118236146867,80.39578792291665,-36.43460556144798,26031.1201171875,134.61494874775505,26300.35001468301,25761.89021969199
2025-12-15,26027.30078125,26047.150390625,25904.75,25930.05078125,181600,26031.8126953125,,25984.76932743279,25940.054829600176,54.75698682439834,44.71449783261414,73.25952990485615,-28.54503207224201,26031.8126953125,134.55486798819365,26300.922431288887,25762.70295933611
2025-12-16,25860.099609375,25980.75,25834.349609375,25951.5,264400,26029.31513671875,,25965.589370808513,25934.132220694606,37.16245171655895,31.45715011390712,64.89905394666634,-33.44190383275922,26029.31513671875,137.36809973561722,26304.051336189983,25754.578937247516
2025-12-17,25818.55078125,25929.150390625,25770.349609375,25902.400390625,206500,26017.61015625,,25942.96804933797,25925.570632587598,35.57199804658664,17.39741675037294,55.398726507407666,-38.001309757034726,26017.61015625,145.03481429249754,26307.679784834996,25727.540527665005
2025-12-18,25815.55078125,25902.349609375,25726.30078125,25764.69921875,197600,25998.78017578125,,25923.36539270905,25917.421013969997,35.821996534627985,5.944378739051899,45.507856953736514,-39.563478214684615,25998.78017578125,145.6273514110522,26290.034878603354,25707.525472959143
