Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower
2025-12-14,88175.1796875,90498.109375,87634.9375,90296.4375,50465972205,,,90541.537177321,90621.75199054895,45.47257090340739,-80.21481322793989,103.33634787267818,-183.55116110061806,,,,
2025-12-15,86419.78125,89983.921875,85304.078125,88171.078125,45559514323,90470.216796875,,89907.42088081008,90310.49489865644,50.22129244929955,-403.0740178463602,2.054274728870496,-405.1282925752307,90470.216796875,1878.3531853580585,94226.92316759111,86713.51042615889
2025-12-16,87843.984375,88170.09375,85381.6875,86424.40625,41262178223,90336.49765625,,89589.96911068546,90127.79041542264,40.56751767134988,-537.8213047371828,-105.92084116434017,-431.9004635728426,90336.49765625,1967.8088962646925,94272.11544877938,86400.8798637206
2025-12-17,86143.7578125,90264.5703125,85316.265625,87847.6171875,44243392914,90079.416796875,,89059.78275711846,89832.67688928022,29.611655092912173,-772.8941321617604,-239.31549936382424,-533.578632797936,90079.416796875,2163.4530514519456,94406.32289977888,85752.51069397111
2025-12-18,85462.5078125,89412.6640625,84436.3125,86144.3671875,52667115348,89806.57890625,,88506.35584256177,89508.96066137057,30.811071902002865,-1002.6048188088025,-391.9733632528199,-610.6314555559826,89806.57890625,2384.729326310968,94576.03755887193,85037.12025362806
2025-12-19,88103.3828125,89339.1171875,85107.6640625,85476.1328125,46733310561,89669.16015625,,88444.35999178304,89404.84378367646,46.285910769683994,-960.4837918934209,-505.67544898094013,-454.8083429124807,89669.16015625,2400.4664564933805,94470.09306923675,84868.22724326325
2025-12-20,88344.0,88497.203125,87924.875,88101.671875,14688196659,89566.64453125,,88428.91999304718,89326.26276266339,47.3346778968825,-897.3427696162107,-584.0089131079942,-313.3338565082165,89566.64453125,2411.6227275091146,94389.88998626823,84743.39907623177
2025-12-21,88621.75,89027.953125,87613.203125,88344.703125,19845522660,89681.653515625,,88458.586147963,89274.07663209573,44.613953365494844,-815.490484132737,-630.3052273129429,-185.18525681979418,89681.653515625,2301.033372858724,94283.72026134245,85079.58676990756
2025-12-22,88490.015625,90501.9296875,87908.0703125,88621.3984375,38047472118,89538.644140625,,88463.42145212254,89215.99803897753,43.467441644086364,-752.5765868549934,-654.759499221353,-97.81708763364031,89538.644140625,2280.6652597531406,94099.97466013128,84977.31362111871
2025-12-23,87414.0,88898.3828125,86606.9765625,88490.03125,43683011533,89232.95390625,,88301.97199794983,89082.51670275697,32.955306397105915,-780.5447048071364,-679.9165403385098,-100.62816446862666,89232.95390625,2122.0524694832084,93477.05884521641,84988.84896728359
2025-12-24,87611.9609375,87956.8828125,86411.796875,87404.3203125,25550297986,89006.470703125,,88195.81645018831,88973.58664607127,35.31236629269394,-777.7701958829566,-699.4872714473992,-78.28292443555745,89006.470703125,2035.2212452952401,93076.91319371547,84936.02821253453
2025-12-25,87234.7421875,88501.7890625,86949.2578125,87608.3203125,19953216347,88898.819921875,,88047.95887131318,88844.78335284378,32.28855481337273,-796.8244815305952,-718.9547134640384,-77.86976806655684,88898.819921875,2070.6247860558738,93040.06949398674,84757.57034976325
2025-12-26,87301.4296875,89459.4296875,86628.140625,87235.5078125,42455674908,88800.27265625,,87933.10822764962,88730.4608591146,38.331083661981864,-797.3526314649789,-734.6342970642265,-62.71833440075238,88800.27265625,2098.6227812442567,92997.51821873852,84603.02709376148
2025-12-27,87802.15625,87874.78125,87182.9765625,87301.4296875,13741199310,88670.0984375,,87912.96176954967,88661.69755473574,40.53919307555346,-748.7357851860725,-737.4545946885958,-11.2811904974767,88670.0984375,2074.4086980197994,92818.91583353959,84521.2810414604
2025-12-28,87835.8359375,87986.890625,87394.953125,87799.34375,15156557929,88529.880078125,,87901.09625692664,88600.52262012569,48.472022491198544,-699.426363199047,-729.848948390686,30.422585191638973,88529.880078125,2028.5036636458026,92586.88740541661,84472.8727508334
2025-12-29,87138.140625,90299.15625,86717.9140625,87835.7890625,48411625849,88252.2015625,,87783.71846739948,88492.19802789415,53.575122281235174,-708.4795604946703,-725.5750708114829,17.09551031681258,88252.2015625,1795.545813477124,91843.29318945426,84661.10993554576
2025-12-30,88430.1328125,89297.9375,86735.546875,87134.3515625,35586356225,88072.6609375,,87883.16682818417,88487.60060453162,52.95603708924886,-604.4337763474468,-701.3468119186757,96.91303557122887,88072.6609375,1563.3843847254527,91199.4297069509,84945.89216804909
2025-12-31,87508.828125,89080.2890625,87130.5625,88429.5859375,33830210616,87822.535546875,,87825.57625846354,88415.09893938113,57.47123389589898,-589.5226809175947,-678.9819857184596,89.45930480086486,87822.535546875,1165.3791210043632,90153.29378888373,85491.77730486628
2026-01-01,88731.984375,88803.2265625,87399.40625,87508.046875,18849043990,87745.6140625,,87965.02366100761,88438.57193461216,66.89230481089587,-473.5482736045524,-637.8952432956781,164.34696969112576,87745.6140625,1039.2484902774613,89824.11104305492,85667.11708194508
2026-01-02,89944.6953125,90884.4609375,88298.6171875,88733.0625,46398906171,87727.91328125,,88269.58853046798,88550.13662927052,61.16048428645029,-280.5480988025374,-566.4258143970501,285.87771559451267,87727.91328125,995.5717586065879,89719.05679846318,85736.76976403683
2026-01-03,90603.1875,90679.5703125,89328.0703125,89945.0546875,20774828592,87849.313671875,,88628.60375654983,88702.21447154677,63.03308478878521,-73.61071499694663,-467.86279451702944,394.2520795200828,87849.313671875,1183.3158785943244,90215.94542906365,85482.68191468636
