Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Sig,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,BB_Pct,ATR,StochRSI,Vol_Ratio
2026-02-20,25406.55078125,25663.55078125,25379.75,25571.25,296600,25576.12509765625,25760.2261328125,25648.9583408941,25659.126691843187,59.87524276769957,-10.168350949086744,-13.151156923454272,2.982805974367528,26124.94817988674,25576.12509765625,25027.302015425765,49.55585890844474,315.87486049107144,61.612604078500304,0.7009003473781222
2026-02-23,25678.400390625,25771.44921875,25609.349609375,25713.0,313700,25609.342578125,25759.3261328125,25658.810903833466,25663.11730726221,49.626394876043335,-4.306403428745398,-11.382206224512498,7.0758027957671,26101.206773376118,25609.342578125,25117.478382873884,60.53719938102812,240.68917410714286,37.59095703866845,0.7484015650348316
2026-02-24,25641.80078125,25641.80078125,25327.599609375,25424.650390625,439100,25621.805078125,25749.848125,25622.7862094937,25645.453091215008,41.96822669753927,-22.66688172130671,-13.63914132387134,-9.027740397435368,26078.76723021752,25621.805078125,25164.842926032477,28.427678682229175,250.03194754464286,19.417896238922573,1.0705056316738992
2026-02-25,25512.599609375,25652.599609375,25428.19921875,25482.5,414200,25628.792578125,25738.559140625,25601.20371572544,25633.38249186575,46.2048179400199,-32.17877614030658,-17.34706828715839,-14.831707853148192,26071.85039902852,25628.792578125,25185.734757221482,33.49057716364539,252.2783203125,5.576406804362566,1.0299767496798418
2026-02-26,25556.30078125,25572.94921875,25400.94921875,25496.55078125,405200,25632.67509765625,25727.944140625,25585.10326426768,25623.246809597917,45.24955149817494,-38.14354533023652,-21.506363695774017,-16.637181634462504,26069.302793684972,25632.67509765625,25196.04740162753,34.41185503755854,249.41768973214286,9.609019599215769,1.0302960957066758
2026-02-27,25459.849609375,25476.400390625,25141.30078125,25178.650390625,438900,25625.57509765625,25714.31515625,25522.572052938038,25590.313741525846,34.48531074788768,-67.74168858780831,-30.753428674180874,-36.98825991362744,26087.45423547178,25625.57509765625,25163.695959840716,1.618868396504293,258.46763392857144,9.609019599215769,1.1259331469177292
2026-03-02,24659.25,24989.349609375,24603.5,24865.69921875,519200,25614.4400390625,25695.258125,25421.514693832185,25536.638591690597,28.30244753720679,-115.12389785841151,-47.627522511027,-67.49637534738451,26137.528740432703,25614.4400390625,25091.3513376923,-21.569202159329496,290.82491629464283,4.194023202689432,1.3200783097302382
2026-03-04,24388.80078125,24602.44921875,24305.400390625,24480.5,599000,25552.0875,25668.557109375,25276.743202473386,25458.40610341722,23.97783430508325,-181.66290094383294,-74.4345981975882,-107.22830274624474,26276.833944194634,25552.0875,24827.34105580537,-23.928441359294503,323.01771763392856,0.0,1.530423229729557
2026-03-05,24615.94921875,24854.19921875,24529.400390625,24765.900390625,504300,25501.58251953125,25644.547109375,25198.15200065056,25407.109383951127,32.46795270199614,-208.95738330056702,-101.33915521818398,-107.61822808238304,26297.87802035714,25501.58251953125,24705.28701870536,3.805959713245546,335.3212890625,7.734280374735562,1.2763211176351488
2026-03-06,24656.400390625,24700.900390625,24415.75,24450.44921875,433400,25441.96494140625,25610.1080859375,25083.120803435086,25336.245668010302,32.695284171625545,-253.12486457521663,-131.69629708959053,-121.4285674856261,26362.578523770302,25441.96494140625,24521.3513590422,-3.8508089414741544,334.4107142857143,15.675653894927594,1.0845845845845845
2026-03-09,23868.05078125,24078.150390625,23697.80078125,24028.05078125,526900,25358.68251953125,25567.12609375,24920.802338483532,25239.342343065095,23.816399619734725,-318.54000458156224,-169.06503858798487,-149.47496599357737,26465.8675103208,25358.68251953125,24251.497528741696,-10.090759419180387,365.00697544642856,15.675653894927594,1.2940540806051526
2026-03-10,24280.80078125,24303.80078125,24079.94921875,24261.599609375,444300,25278.3974609375,25529.51609375,24819.386534005294,25166.916955384346,28.156786305097242,-347.5304213790514,-204.75811514619818,-142.77230623285323,26460.61775665462,25278.3974609375,24096.17716522038,6.996261388588235,370.83914620535717,11.953691818509823,1.0799314560723356
2026-03-11,24231.849609375,24299.0,23834.30078125,23866.849609375,0,25174.982421875,25486.0070703125,24672.84239175448,25070.615670494764,23.264411885526485,-397.7732787402856,-243.3611478650157,-154.4121308752699,26471.622813659844,25174.982421875,23878.342030090156,-0.44316144969603743,390.96763392857144,4.01231829831779,0.0
